,Icum1,Icum2,Icum3,Icum4,Icum5
71,61774.41936102404,66020.61703559363,59626.531213274946,58279.594598492906,68216.14774222781
72,61774.41936102404,66020.61703559363,59626.531213274946,58279.594598492906,68216.14774222781
73,60094.14525015136,59192.630964618,65629.6198855649,65079.26986090524,63554.37143010278
74,60094.14525015136,59192.630964618,65629.6198855649,65079.26986090524,63554.37143010278
75,62784.696788212685,62161.8282416599,61770.33834167447,64036.25417087566,62478.30526974447
76,60796.86045180918,64835.097193974136,57629.23788444839,70603.47836736533,60337.809038811676
77,57932.910634423475,64708.31640421117,67575.58002420544,59929.8332682986,63657.11003580475
78,62570.954114442815,56360.64283262703,63032.47034528084,64289.96879193625,67648.95417602283
79,62570.954114442815,56360.64283262703,63032.47034528084,64289.96879193625,67648.95417602283
80,62570.954114442815,56360.64283262703,63032.47034528084,64289.96879193625,67648.95417602283
81,67317.82484858384,58075.31825749992,60956.19205910738,60933.07403867888,66563.02646406084
82,69179.52837368578,60680.27443494196,57886.16158072059,64473.772533003255,61711.84048412517
83,69624.2871612904,61185.66088344058,58297.59240271188,63761.86634058463,61054.18999813572
84,61288.80130571341,66346.30041352074,60138.09945640624,60528.84531507734,65230.40537284468
85,60839.056646922545,62167.52823967633,65092.71520409362,61781.032401517215,63430.32910269659
86,60839.056646922545,62167.52823967633,65092.71520409362,61781.032401517215,63430.32910269659
87,60839.056646922545,62167.52823967633,65092.71520409362,61781.032401517215,63430.32910269659
88,60839.056646922545,62167.52823967633,65092.71520409362,61781.032401517215,63430.32910269659
89,60839.056646922545,62167.52823967633,65092.71520409362,61781.032401517215,63430.32910269659
90,60705.633243817654,64823.195674077826,62533.45254160851,60995.38505760242,64284.98814833526
91,60705.633243817654,64823.195674077826,62533.45254160851,60995.38505760242,64284.98814833526
92,60705.633243817654,64823.195674077826,62533.45254160851,60995.38505760242,64284.98814833526
93,60705.633243817654,64823.195674077826,62533.45254160851,60995.38505760242,64284.98814833526
94,63047.62728874544,62597.43252138402,62095.6677036636,60761.27099308973,64786.45949433538
95,63047.62728874544,62597.43252138402,62095.6677036636,60761.27099308973,64786.45949433538
96,63047.62728874544,62597.43252138402,62095.6677036636,60761.27099308973,64786.45949433538
97,63047.62728874544,62597.43252138402,62095.6677036636,60761.27099308973,64786.45949433538
98,63047.62728874544,62597.43252138402,62095.6677036636,60761.27099308973,64786.45949433538
99,63047.62728874544,62597.43252138402,62095.6677036636,60761.27099308973,64786.45949433538
100,63047.62728874544,62597.43252138402,62095.6677036636,60761.27099308973,64786.45949433538
101,63047.62728874544,62597.43252138402,62095.6677036636,60761.27099308973,64786.45949433538
102,63047.62728874544,62597.43252138402,62095.6677036636,60761.27099308973,64786.45949433538
103,63047.62728874544,62597.43252138402,62095.6677036636,60761.27099308973,64786.45949433538
104,63047.62728874544,62597.43252138402,62095.6677036636,60761.27099308973,64786.45949433538
105,63047.62728874544,62597.43252138402,62095.6677036636,60761.27099308973,64786.45949433538
106,63047.62728874544,62597.43252138402,62095.6677036636,60761.27099308973,64786.45949433538
107,63047.62728874544,62597.43252138402,62095.6677036636,60761.27099308973,64786.45949433538
108,63047.62728874544,62597.43252138402,62095.6677036636,60761.27099308973,64786.45949433538
109,63047.62728874544,62597.43252138402,62095.6677036636,60761.27099308973,64786.45949433538
110,63047.62728874544,62597.43252138402,62095.6677036636,60761.27099308973,64786.45949433538
111,63047.62728874544,62597.43252138402,62095.6677036636,60761.27099308973,64786.45949433538
112,63047.62728874544,62597.43252138402,62095.6677036636,60761.27099308973,64786.45949433538
113,63047.62728874544,62597.43252138402,62095.6677036636,60761.27099308973,64786.45949433538
114,61637.08321571471,64901.83612227179,62315.43573009917,62364.64566935051,62048.826365230845
115,61637.08321571471,64901.83612227179,62315.43573009917,62364.64566935051,62048.826365230845
116,61637.08321571471,64901.83612227179,62315.43573009917,62364.64566935051,62048.826365230845
117,61637.08321571471,64901.83612227179,62315.43573009917,62364.64566935051,62048.826365230845
118,61637.08321571471,64901.83612227179,62315.43573009917,62364.64566935051,62048.826365230845
119,61637.08321571471,64901.83612227179,62315.43573009917,62364.64566935051,62048.826365230845
120,63455.61161144127,61348.20531972895,64211.827760547516,62399.018549066896,61842.38191955271
121,62981.74294392049,63418.479387111176,62268.81374329351,60888.06838235936,63695.95081905069
122,62981.74294392049,63418.479387111176,62268.81374329351,60888.06838235936,63695.95081905069
123,62981.74294392049,63418.479387111176,62268.81374329351,60888.06838235936,63695.95081905069
124,62981.74294392049,63418.479387111176,62268.81374329351,60888.06838235936,63695.95081905069
125,62981.74294392049,63418.479387111176,62268.81374329351,60888.06838235936,63695.95081905069
126,62981.74294392049,63418.479387111176,62268.81374329351,60888.06838235936,63695.95081905069
127,62981.74294392049,63418.479387111176,62268.81374329351,60888.06838235936,63695.95081905069
128,62981.74294392049,63418.479387111176,62268.81374329351,60888.06838235936,63695.95081905069
129,62981.74294392049,63418.479387111176,62268.81374329351,60888.06838235936,63695.95081905069
130,62981.74294392049,63418.479387111176,62268.81374329351,60888.06838235936,63695.95081905069
131,62981.74294392049,63418.479387111176,62268.81374329351,60888.06838235936,63695.95081905069
132,62981.74294392049,63418.479387111176,62268.81374329351,60888.06838235936,63695.95081905069
133,62981.74294392049,63418.479387111176,62268.81374329351,60888.06838235936,63695.95081905069
134,62981.74294392049,63418.479387111176,62268.81374329351,60888.06838235936,63695.95081905069
135,62981.74294392049,63418.479387111176,62268.81374329351,60888.06838235936,63695.95081905069
136,62981.74294392049,63418.479387111176,62268.81374329351,60888.06838235936,63695.95081905069
137,62981.74294392049,63418.479387111176,62268.81374329351,60888.06838235936,63695.95081905069
138,62981.74294392049,63418.479387111176,62268.81374329351,60888.06838235936,63695.95081905069
139,62981.74294392049,63418.479387111176,62268.81374329351,60888.06838235936,63695.95081905069
140,62981.74294392049,63418.479387111176,62268.81374329351,60888.06838235936,63695.95081905069
141,62981.74294392049,63418.479387111176,62268.81374329351,60888.06838235936,63695.95081905069
142,62981.74294392049,63418.479387111176,62268.81374329351,60888.06838235936,63695.95081905069
143,62981.74294392049,63418.479387111176,62268.81374329351,60888.06838235936,63695.95081905069
144,62981.74294392049,63418.479387111176,62268.81374329351,60888.06838235936,63695.95081905069
145,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
146,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
147,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
148,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
149,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
150,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
151,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
152,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
153,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
154,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
155,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
156,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
157,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
158,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
159,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
160,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
161,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
162,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
163,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
164,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
165,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
166,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
167,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
168,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
169,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
170,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
171,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
172,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
173,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
174,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
175,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
176,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
177,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
178,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
179,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
180,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
181,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
182,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
183,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
184,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
185,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
186,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
187,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
188,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
189,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
190,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
191,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
192,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
193,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
194,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
195,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
196,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
197,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
198,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
199,61916.34853028968,62764.39879281267,62867.98482726619,62505.825016189934,63155.691641776844
